abell
Abell2708,1 5 RI? II,58,16.2,0  6.5,-16 53,,17.2
Abell2712,2 6 IR  I,83,17.4,0  7.1,-18  6,,17.3
Abell2,1 5 R   I:,76,16.0,0  8.2,-19 39,,17.2
Abell13,2 5 R   III,96,15.4,0 13.6,-19 30,,16.5
Abell14,0 3 RI: II-III,29,12.7,0 15.1,-23 53,.0640,15.2
Abell15,1 5 R   III,52,15.9,0 15.1,-26  2,.121,17.2
Abell20,1 6 I   II,66,16.9,0 19.7,-22 39,,17.4
Abell22,3 6 R   I-II,192,16.2,0 20.5,-25 43,.1432,17.3
Abell27,0 5 R   II,46,15.0,0 24.9,-20 43,,16.7
Abell33,3 6 R   III,139,18.4,0 27.2,-19 30,,17.4
Abell35,3 6 R   III:,146,17.3,0 27.4,-21 33,,17.4
Abell42,3 5 R   II,141,16.0,0 28.6,-23 38,.1087,17.2
Abell47,0 6 R   II-III,29,17.0,0 30.5,-24 10,,17.3
Abell50,1 5 I   II-III:,77,15.9,0 31.3,-22 13,,17.2
Abell51,0 5 I   II-III,34,15.3,0 31.7,-23 38,,17.1
Abell61,1 6 I   II-III,67,17.5,0 34.8,-23 10,,17.3
Abell74,1 4 I   II-III,50,14.4,0 39.1,-22 18,,15.9
Abell80,0 4 I   III,32,15.1,0 40.5,-24 39,,15.8
Abell86,0 4 R   II-III,41,14.1,0 42.7,-21 47,.0610,15.8
Abell88,0 5 I   III,35,15.3,0 43.0,-26  3,.1086,17.0
Abell93,0 4 I   II,27,14.5,0 44.2,-18 32,,16.3
Abell97,1 6 R   II,72,16.8,0 45.8,-23 11,,17.3
Abell99,0 5 I?  II-III:,28,15.4,0 46.0,-17 23,,17.2
Abell107,0 5 R   II-III,34,15.6,0 50.4,-19 16,,17.2
Abell114,0 4 I   II,30,14.4,0 54.0,-21 43,.0566,16.0
Abell118,1 5 I   II-III,77,15.8,0 55.4,-26 22,,17.2
Abell122,2 5 R   I-II,81,16.0,0 57.4,-26 16,,17.2
Abell127,0 6 R   II-III,41,17.6,1  0.0,-23 30,,17.4
Abell133,1 5 R   I,60,14.0,1  2.7,-21 52,.0604,16.5
Abell135,1 6 RI  II:,74,16.6,1  3.4,-22 35,,17.4
Abell140,1 6 R   I-II,79,15.4,1  4.5,-23 58,.152,17.3
Abell141,0 6 I   II-III,49,18.0,1  5.5,-24 38,.230,17.3
Abell144,1 6 RI  I-II,54,17.2,1  6.3,-20 53,,17.4
Abell155,1 6 I   II,76,16.1,1  9.9,-24 53,,17.3
Abell177,1 6 R   III,55,17.4,1 20.0,-21  2,,17.3
Abell183,0 5 I   III:,40,15.8,1 21.7,-21 56,,17.2
Abell185,1 5 IR  II-III,64,15.9,1 22.1,-21 28,,17.2
Abell187,1 5 RI  III,57,15.9,1 22.5,-19 12,,17.2
Abell197,2 5 R   III,92,16.0,1 26.7,-18 10,,17.2
Abell199,0 5 RI  III,29,15.9,1 27.2,-17 46,,17.2
Abell206,1 6 R   II,74,17.5,1 28.6,-25 39,,17.4
Abell210,1 6 RI  I-II,65,16.4,1 32.3,-26  0,,17.3
Abell214,2 6 R   I-II,98,16.8,1 34.3,-26  6,,17.4
Abell215,1 6 RI  II,66,16.8,1 35.3,-23 28,,17.4
Abell235,1 6 R   III,53,18.6,1 40.1,-17 25,,17.4
Abell238,0 6 R   II-III?,20,19.1,1 41.0,-23  1,,17.4
Abell264,1 5 R   I-II,59,16.7,1 51.9,-25 47,,17.2
Abell273,1 6 RI  II-III,59,16.7,1 54.0,-23 35,,17.3
Abell283,2 6 IR  II:,80,16.3,1 57.1,-22  7,,17.3
