abell_pn
1  |   CEP  |  PLNNB   |    PNG119.4+6.5   |   18.0   |   20.5    |   0.8      |  00 12 54.6     |   +69 10 23    |  008
2  |   CAS  |  PLNNB   |    PNG122.1-4.9   |   14.1   |   20.0    |   0.6      |  00 45 34.8     |   +57 57 35    |  018
3  |   CAS  |  PLNNB   |    PNG131.5+2.6   |   18.2   |   18.8    |   1.0      |  02 12 06.6     |   +64 09 03    |  017
4  |   PER  |  PLNNB   |    PNG144.3-15.5  |    14.4  |    19.9   |    0.4     |   02 45 23.8    |    +42 33 03   |   043
5  |   PER  |  PLNNB   |    PNG141.7-7.8   |   16.0   |   21.4    |   2.1      |  02 52 14.8     |   +50 35 54    |  043
6  |   CAS  |  PLNNB   |    PNG136.1+4.9   |   14.3   |   19.6    |   3.1      |  02 58 42.0     |   +64 30 07    |  017
7  |   LEP  |  PLNNB   |    PNG215.5-30.8  |    13.2  |    15.4   |    12.7    |  05 03 07.5     |   -15 36 23    |  137
8  |   AUR  |  PLNNB   |    PNG167.0-0.9   |   16.6   |   20.2    |   1.0      |  05 06 38.4     |   +39 08 09    |  059
9  |   AUR  |  PLNNB   |    PK172+0.1     |    18.9     | 20.0    |   0.6      |  05 28 56.6       | +36 03 11    | 059
10  |   ORI  |  PLNNB   |    PNG197.2-14.2  |    14.7  |    20.2   |    0.6     |   05 31 45.8    |    +06 55 57   |   096
11  |   ORI  |  PLNNB   |    PK196-12.1   |   99.9     |           |         |  05 37 22.1     |   +08 15 37    |  096
12  |   ORI  |  PLNNB   |    PNG198.6-6.3   |   12.0   |   19.7    |   0.6      |  06 02 20.0     |   +09 39 15    |  096
13  |   ORI  |  PLNNB   |    PNG204.0-8.5   |   15.3   |   19.8    |   2.9      |  06 04 47.8     |   +03 56 36    |  116
14  |   ORI  |  PLNNB   |    PNG197.8-3.3   |   17.5   |   15.2    |   0.6      |  06 11 08.7     |   +11 46 45    |  096
15  |   CMA  |  PLNNB   |    PNG233.5-16.3  |    15.6  |    16.1   |    0.6     |   06 27 02.0    |    -25 22 50   |   154
16  |   LYN  |  PLNNB   |    PNG153.7+22.8  |    14.5  |    17.4   |    2.3     |   06 43 54.9    |    +61 47 25   |   027
17  |   MON  |  PLNNB   |    PK221-4.1      |  18.5    |  19.9     |  1.0     |  06 48 38.1     | -09 32 43      | 135
18  |   MON  |  PLNNB   |    PNG216.0-0.2   |   17.5   |   20.9    |   1.2      |  06 56 14.5     |   -02 53 09    |  115
19  |   GEM  |  PLNNB   |    PNG200.7+8.4   |   16.8   |          | 1.2        |  06 59 57.0     |   +14 36 35    |  095
20  |   CMI  |  PLNNB   |    PNG214.9+7.8   |   14.3   |   16.5    |   1.1      |  07 22 57.6     |    +01 45 34   |   115
21  |   GEM  |  PLNNB   |    PNG205.1+14.2  |    10.3  |    15.9   |    10.3    |    07 29 04.5    |    +13 14 55  |    095
22  |   CMI  |  PLNNB   |    PNG215.6+11.1  |    15.4  |    19.5   |    2.0     |   07 36 08.2    |    +02 42 24   |   115
23  |   PUP  |  PLNNB   |    PNG249.3-5.4   |   13.1   |           |   0.9      |  07 43 18.0     |   -34 45 12    |  171
24  |   CMI  |  PLNNB   |    PNG217.1+14.7  |    13.5  |    17.1   |    6.0     |   07 51 39.3    |    +03 00 29   |   115
25  |   MON  |  PLNNB   |    PNG224.3+15.3  |    15.4  |    18.9   |    2.8     |   08 06 46.0    |    -02 52 42   |   114
26  |   PUP  |  PLNNB   |    PNG250.3+0.1   |   18.1   |            |  0.7       |  08 09 01.6     |   -32 40 25    |  171
27  |   PYX  |  PLNNB   |    PNG252.6+4.4   |   18.0   |   13.9    |   1.1     |   08 31 52.5     |   -32 06 10    |  171
28  |   UMA  |  PLNNB   |    PNG158.8+37.1  |    13.5  |    17.4   |    4.5    |    08 41 35.5    |    +58 13 49   |   026
29  |   PYX  |  PLNNB   |    PNG244.5+12.5  |    14.3  |    18.3   |    6.7    |    08 40 17.0    |    -20 54 14   |   153
30  |   CNC  |  PLNNB   |    PNG208.5+33.2  |    15.6  |    14.3   |    2.1    |    08 46 53.6    |    +17 52 44   |   074
31  |   CNC  |  PLNNB   |    PNG219.1+31.2  |    12.0  |    15.5   |    16.2    |    08 54 13.2    |    +08 53 59  |    094
32  |   HYA  |  PLNNB   |    PK227+33.1     |  99.9   |           |          |   09 16 21.6        |+03 53 04   |   113
33  |   HYA  |  PLNNB   |    PNG238.0+34.8  |    12.6  |    15.5   |    4.5    |    09 39 09.1    |    -02 48 32   |   113
34  |   HYA  |  PLNNB   |    PNG248.7+29.5  |    12.9  |    16.3   |    4.8    |    09 45 35.0    |    -13 10 10   |   133
35  |   HYA  |  PLNNB   |    PNG303.6+40.0  |    12.7  |    09.6   |    12.8    |    12 53 41.4    |    -22 51 42  |    149
36  |   VIR  |  PLNNB   |    PNG318.4+41.4  |    11.8  |    11.5   |    6.2    |    13 40 41.3    |    -19 52 57   |   149
37  |   VIR  |  PLNNB   |    IC 972         |   13.9   |   17.9    |   0.9     |   14 04 25.9     |   -17 13 40    |  129
38  |   SCO  |  PLNNB   |    PNG346.9+12.4  |    15.5  |    20.5   |    2.6    |    16 23 18.7     |  -31 44 58    |  165
39  |   HER  |  PLNNB   |    PNG47.0+42.4   |   13.0   |   15.6    |   2.9     |   16 27 33.8      |  +27 54 33    |   069
40  |   OPH  |  PLNNB   |    PNG359.1+15.1  |  16.8    |  19.7     |  0.6      |    16 48 34.5     |  -21 00 51    |   146
41  |   SER  |  PLNNB   |    PNG9.6+10.5    |  17.2    |  16.5     |  0.3      |    17 29 02.2     |  -15 13 07    |   126
42  |   OPH  |  PLNNB   |    PNG16.0+13.5   |   16.5   |   20.3    |   1.0     |   17 31 29.2      |  -08 19 09    |   126
43  |   OPH  |  PLNNB   |    PNG36.0+17.6   |   14.6   |   14.7    |   1.3     |   17 53 32.2      |  +10 37 25    |   086
44  |   SGR  |  PLNNB   |    PNG15.6-3.0    |  15.4    |            |  0.9      |   18 30 11.3      | -16 45 24     |  126
45  |   SCT  |  PLNNB   |    PNG20.2-0.6    |  12.8    |  21.1     |  4.8      |    18 30 16.1     |  -11 36 56    |   126
46  |   LYR  |  PLNNB   |    PNG55.4+16.0   |  14.3    |  14.9     |  1.1      |    18 31 18.6     |  +26 56 11    |   067
47  |   SER  |  PLNNB   |    PNG30.8+3.4    |  19.5    |  21.0     |  0.3      |   18 35 22.6      |  +00 13 50    |   106
48  |   AQL  |  PLNNB   |    PNG29.0+0.4    |  17.2    |           |  0.7     |    18 42 46.9      |  -03 13 17    |   105
49  |   SCT  |  PLNNB   |    PNG27.3-3.4    |  16.1    |  21.0     |  0.6     |    18 53 28.6      |  -06 28 35    |   125
50  |   DRA  |  PLNNB   |    NGC 6742       |  13.4    |  20.0     |  0.6     |   18 59 19.9       | +48 27 53     |  033
51  |   SGR  |  PLNNB   |    PNG17.6-10.2   |   15.0   |   15.4    |   1.1    |    19 01 01.4      |  -18 12 14    |   145
52  |   AQL  |  PLNNB   |    PNG50.4+5.2    |  16.5    |  18.4     |  0.6     |    19 04 32.4      | +17 57 08     |  067
53  |   AQL  |  PLNNB   |    PNG40.3-0.4    |  15.5    |  20.9     |  0.5     |    19 06 46.1      | +06 23 50     |  085
54  |   VUL  |  PLNNB   |    PNG55.3+6.6    |  17.1    |            |  0.9     |   19 08 39.6       |+22 58 59      | 067
55  |   AQL  |  PLNNB   |    PNG33.0-5.3    |  15.4    |  20.5     |  1.0     |   19 10 25.8       |-02 20 25      | 105
56  |   AQL  |  PLNNB   |    PNG37.9-3.4    |  14.1    |  19.7     |  3.3     |   19 13 06.6       |+02 52 49      | 105
57  |   VUL  |  PLNNB   |    PNG58.6+6.1    |  14.7    |  17.6     |  0.6     |   19 17 05.9       |+25 37 33      | 067
58  |   AQL  |  PLNNB   |    PNG37.5-5.1    |  17.4    |  19.4     |  0.7     |   19 18 20.8       |+01 46 53      | 105
59  |   SGE  |  PLNNB   |    PNG53.3+3.0    |  16.8    |  21.1     |  1.5     |   19 18 40.1       |+19 34 26      | 067
60  |   SGR  |  PLNNB   |    PNG25.0-11.6   |   15.5   |   18.5    |   1.2    |   19 19 17.8      | -12 14 42      |  125
61  |   CYG  |  PLNNB   |    PNG77.6+14.7   |   13.5   |   17.3    |   3.3    |   19 19 10.3       |   +46 14 51   |   033
62  |   AQL  |  PLNNB   |    PNG47.1-4.2    |  14.8    |  18.8     |  2.7     |  19 33 18.3        |  +10 37 04    |  085
63  |   SGE  |  PLNNB   |    PNG53.8-3.0    |  15.9    |  14.6     |  0.7     |  19 42 10.4        |  +17 05 11    |  085
64  |   AQL  |  PLNNB   |    PK44-9.1       |   15.3    |  18.1     |  0.7       |19 45 35.1          |-05 34 02    |  125
65  |   SGR  |  PLNNB   |    PNG17.3-21.9   |   13.2   |   15.9    |   2.1    |   19 46 34.3       |   -23 08 14   |   144
66  |   SGR  |  PLNNB   |    PNG19.8-23.7   |   14.9   |   17.3    |   4.5    |   19 57 31.8       |   -21 36 37   |   144
67  |   AQL  |  PLNNB   |    PNG43.5-13.4   |   15.3   |   19.3    |   1.1    |   19 58 27.0       |   +03 03 00   |   104
68  |   VUL  |  PLNNB   |    PNG60.0-4.3    |  15.2    |  13.2     |  0.6     |  20 00 10.5        |  +21 42 54    |  066
69  |   CYG  |  PLNNB   |    PNG76.3+1.1    |  18.7    |  21.0     |  0.4     |  20 19 58.4        |  +38 23 59    |  048
70  |   AQL  |  PLNNB   |    PNG38.1-25.4   |   14.5   |   19.1    |   0.7    |   20 31 33.2       |   -07 05 18   |   124
71  |   CYG  |  PLNNB   |    PNG84.9+4.4    |  14.0    |  18.9     |  2.6     |  20 32 23.4        |  +47 20 55    |  032
72  |   DEL  |  PLNNB   |    PNG59.7-18.7   |   13.8   |   16.1    |   2.1    |   20 50 02.1       |   +13 33 29   |   084
73  |   CEP  |  PLNNB   |    PNG95.2+7.8    |  16.5    |  21.1     |  1.2     |   20 56 26.7       |   +57 26 00   |   019
74  |   VUL  |  PLNNB   |    PNG72.7-17.1   |   12.2   |   17.1    |   13.8   |   21 16 52.3       |   +24 08 52   |   065
75  |   CEP  |  PLNNB   |    NGC 7076      |  13.5    |  18.0     |  0.9     |  21 26 23.5        |  +62 53 33    |  019
76  |   AQR  |  PLNNB   |    PK50-36.1     | 15.6     |           |   0.4     |  21 30 03.5          |-02 47 06    |  103
77  |   CEP  |  PLNNB   |    PNG97.5+3.1    |  15.0    |  15.7     |  1.3     |   21 32 10.3       |   +55 52 42   |   019
78  |   CYG  |  PLNNB   |    PNG81.2-14.9   |   13.4   |   13.2    |   1.8    |   21 35 29.5       |   +31 41 44   |   047
79  |   CYG  |  PLNNB   |    PNG102.9-2.3   |   15.0   |   18.7    |   1.9    |   22 26 17.3       |   +54 49 40   |   019
80  |   LAC  |  PLNNB   |    PNG102.8-5.0   |   16.0   |   19.6    |   2.9    |   22 34 45.5       |   +52 26 12   |   019
81  |   CEP  |  PLNNB   |    IC 1454         | 14.0     |   18.8    | 0.6      |   22 42 25.3       |   +80 26 28   |   002
82  |   CAS  |  PLNNB   |    PNG114.0-4.6   |   12.7   |   14.9    |   1.6    |    23 45 47.5      |    +57 03 56  |    018
83  |   CAS  |  PLNNB   |    PNG113.6-6.9   |   17.6   |   21.0    |   0.8    |    23 46 46.9      |    +54 44 38  |    018
84  |   CAS  |  PLNNB   |    PNG112.9-10.2  |    13.0  |    18.4   |    2.5   |    23 47 43.9      |    +51 23 56  |    018
85  |   CAS  |  SNREM   |    CTB1           |  99.9  |           |   30x2     |  23 58 53.5      |    +62 30 28   |  008
86  |   CEP  |  PLNNB   |    PNG118.7+8.2   |   16.7   |   20.0    |   1.1    |    00 01 30.9      |    +70 42 30  |    008
