ngcic
NGC 1           |   GALXY   |   PEG |   0   7   15.9    |   +   27  42  32  |   12.9    |   13.5    |   1.70    |   1.2 |   120 |   Sb  |   0.015177    |   PGC564  ,   UGC57   ,   MCG4-1-25   ,   CGCG477-54  ,   IRAS00047+2725  ,   KCPG2A  ,   CGCG478-26  ,       ,       ,       ,       ,   
NGC 2           |   GALXY   |   PEG |   0   7   17.1    |   +   27  40  43  |   14.2    |   13.6    |   1.00    |   0.6 |   112 |   Sab |   0.025214    |   PGC567  ,   UGC59   ,   MCG4-1-26   ,   CGCG477-55  ,   CGCG478-27  ,   KCPG2B  ,       ,       ,       ,       ,       ,   
NGC 3           |   GALXY   |   PSC |   0   7   16.8    |   +   8   18  5   |   13.3    |   12.8    |   1.10    |   0.6 |   111 |   S0  |   0.013009    |   PGC565  ,   UGC58   ,   MCG1-1-37   ,   CGCG408-35  ,   ARAK1   ,   IRAS00047+0801  ,       ,       ,       ,       ,       ,   
NGC 4           |   GALXY   |   PSC |   0   7   24.5    |   +   8   22  26  |   15.9    |   13.9    |   0.60    |   0.3 |   35  |   S0  |       |   PGC212468   ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 5           |   GALXY   |   AND |   0   7   48.8    |   +   35  21  46  |   13.3    |   13.1    |   1.20    |   0.7 |   115 |   E4  |   0.017048    |   PGC595  ,   UGC62   ,   MCG6-1-13   ,   CGCG517-17  ,   CGCG518-12  ,   4ZW7    ,   NPM1G+35.0003   ,       ,       ,       ,       ,   
NGC 6           |   NONEX   |   AND |   0   9   32.6    |   +   33  18  32  |   13.1    |   14.3    |   1.70    |   1.6 |   140 |   E-S0    |   0.016581    |   PGC679  ,   NGC20   ,   UGC84   ,   MCG5-1-36   ,   CGCG498-82  ,   CGCG499-54  ,       ,       ,       ,       ,       ,   
NGC 7           |   GALXY   |   SCL |   0   8   20.7    |   -   29  54  59  |   13.9    |   14.0    |   2.20    |   0.5 |   29  |   SBc |   0.004987    |   PGC627  ,   ESO409-22   ,   MCG-5-1-37  ,   AM0005-301  ,       ,       ,       ,       ,       ,       ,       ,   
NGC 8           |   STARS   |   PEG |   0   8   45.3    |   +   23  50  19  |       |       |       |       |       |   *2  |       |       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 9           |   GALXY   |   PEG |   0   8   54.5    |   +   23  49  4   |   13.5    |   12.6    |   1.10    |   0.7 |   155 |   Sb/P    |   0.015104    |   PGC652  ,   UGC78   ,   MCG4-1-30   ,   CGCG477-59  ,   IRAS00063+2332  ,   KUG0006+235 ,   KARA6   ,   CGCG478-31  ,       ,       ,       ,   
NGC 10          |   GALXY   |   SCL |   0   8   34.3    |   -   33  51  28  |   12.5    |   13.5    |   2.40    |   1.2 |   26  |   SBbc    |   0.022719    |   PGC634  ,   ESO349-32   ,   MCG-6-1-24  ,   AM0006-340  ,   IRAS00060-3408  ,       ,       ,       ,       ,       ,       ,   
NGC 11          |   GALXY   |   AND |   0   8   42.3    |   +   37  26  53  |   13.7    |   12.7    |   1.50    |   0.3 |   111 |   Sa  |   0.014640    |   PGC642  ,   UGC73   ,   MCG6-1-15   ,   CGCG517-20  ,   CGCG518-15  ,   IRAS00061+3710  ,       ,       ,       ,       ,       ,   
NGC 12          |   GALXY   |   PSC |   0   8   44.8    |   +   4   36  44  |   13.1    |   14.0    |   1.10    |   1.0 |   125 |   SBc |   0.013146    |   PGC645  ,   UGC74   ,   MCG1-1-40   ,   CGCG408-38  ,       ,       ,       ,       ,       ,       ,       ,   
NGC 13          |   GALXY   |   AND |   0   8   47.7    |   +   33  25  59  |   13.2    |   13.5    |   2.30    |   0.6 |   53  |   Sab |   0.016038    |   PGC650  ,   UGC77   ,   MCG5-1-34   ,   CGCG498-81  ,   CGCG499-53  ,       ,       ,       ,       ,       ,       ,   
NGC 14          |   GALXY   |   PEG |   0   8   46.3    |   +   15  48  57  |   12.1    |   13.9    |   2.80    |   2.1 |   25  |   IBm |   0.002885    |   PGC647  ,   UGC75   ,   MCG3-1-26   ,   CGCG456-34  ,   KUG0006+155 ,   Arp235  ,   VV80    ,       ,       ,       ,       ,   
NGC 15          |   GALXY   |   PEG |   0   9   2.4 |   +   21  37  30  |   13.8    |   13.1    |   1.00    |   0.6 |   30  |   Sa  |   0.021121    |   PGC661  ,   UGC82   ,   MCG3-1-27   ,   CGCG456-35  ,   NPM1G+21.0004   ,       ,       ,       ,       ,       ,       ,   
NGC 16          |   GALXY   |   PEG |   0   9   4.2 |   +   27  43  48  |   12.0    |   12.5    |   1.80    |   1.0 |   16  |   E/SB0   |   0.010340    |   PGC660  ,   UGC80   ,   MCG4-1-32   ,   CGCG477-61  ,   CGCG478-33  ,       ,       ,       ,       ,       ,       ,   
NGC 17          |   GALXY   |   CET |   0   11  6.6 |   -   12  6   28  |   14.4    |   14.8    |   2.10    |   0.8 |   30  |   S/P |   0.019617    |   PGC781  ,   NGC34   ,   MCG-2-1-32  ,   MK938   ,   VV850   ,   IRAS00085-1223  ,       ,       ,       ,       ,       ,   
NGC 18          |   STARS   |   PEG |   0   9   23.0    |   +   27  43  56  |       |       |       |       |       |   *2  |       |       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 19          |   GALXY   |   AND |   0   10  40.8    |   +   32  58  58  |   13.3    |   12.7    |   1.10    |   0.6 |   42  |   SBbc    |   0.015971    |   PGC759  ,   UGC98   ,   MCG5-1-46   ,   CGCG499-65  ,   KAZ18   ,   IRAS00080+3242  ,       ,       ,       ,       ,       ,   
NGC 20          |   GALXY   |   AND |   0   9   32.6    |   +   33  18  32  |   13.1    |   14.3    |   1.70    |   1.6 |   140 |   E-S0    |   0.016581    |   PGC679  ,   NGC6    ,   UGC84   ,   MCG5-1-36   ,   CGCG498-82  ,   CGCG499-54  ,       ,       ,       ,       ,       ,   
NGC 21          |   NONEX   |   AND |   0   10  47.0    |   +   33  21  7   |   12.7    |   12.8    |   1.50    |   0.7 |   154 |   SBbc    |   0.015911    |   PGC767  ,   NGC29   ,   UGC100  ,   MCG5-1-48   ,   IRAS00082+3304  ,   CGCG499-66  ,   KAZ19   ,       ,       ,       ,       ,   
NGC 22          |   GALXY   |   PEG |   0   9   48.2    |   +   27  49  58  |   13.6    |   13.8    |   1.30    |   1.0 |   160 |   Sb  |   0.027726    |   PGC690  ,   UGC86   ,   MCG5-1-39   ,   CGCG499-55  ,       ,       ,       ,       ,       ,       ,       ,   
NGC 23          |   GALXY   |   PEG |   0   9   53.3    |   +   25  55  26  |   12.0    |   13.0    |   2.10    |   1.3 |   8   |   SBa |   0.015231    |   PGC698  ,   UGC89   ,   MCG4-1-33   ,   MK545   ,   IRAS00073+2538  ,   CGCG477-62  ,   CGCG478-34  ,   KUG0007+256 ,       ,       ,       ,   
NGC 24          |   GALXY   |   SCL |   0   9   56.1    |   -   24  57  52  |   11.6    |   13.7    |   5.80    |   1.3 |   46  |   Sc  |   0.001848    |   PGC701  ,   ESO472-16   ,   MCG-4-1-18  ,   UGCA2   ,   AM0007-251  ,   IRAS00073-2514  ,       ,       ,       ,       ,       ,   
NGC 25          |   GALXY   |   PHE |   0   9   59.3    |   -   57  1   13  |   13.0    |   13.0    |   1.40    |   0.8 |   88  |   E/SB0   |   0.031572    |   PGC706  ,   ESO149-19   ,   FAIR1   ,   AM0007-571  ,       ,       ,       ,       ,       ,       ,       ,   
NGC 26          |   GALXY   |   PEG |   0   10  25.9    |   +   25  49  56  |   12.9    |   13.9    |   2.10    |   1.4 |   100 |   Sab |   0.015317    |   PGC732  ,   UGC94   ,   MCG4-1-34   ,   CGCG477-64  ,   IRAS00078+2533  ,   KUG0007+255 ,   CGCG478-36  ,       ,       ,       ,       ,   
NGC 27          |   GALXY   |   AND |   0   10  32.7    |   +   28  59  49  |   13.5    |   13.1    |   1.20    |   0.5 |   117 |   Sb  |   0.023460    |   PGC742  ,   UGC96   ,   MCG5-1-44   ,   CGCG499-63  ,   KCPG3B  ,   IRAS00079+2843  ,       ,       ,       ,       ,       ,   
NGC 28          |   GALXY   |   PHE |   0   10  25.2    |   -   56  59  20  |   13.8    |   13.1    |   0.80    |   0.6 |   119 |   E1  |   0.032156    |   PGC730  ,   AM0007-571  ,       ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 29          |   GALXY   |   AND |   0   10  47.0    |   +   33  21  7   |   12.7    |   12.8    |   1.50    |   0.7 |   154 |   SBbc    |   0.015911    |   PGC767  ,   NGC21   ,   UGC100  ,   MCG5-1-48   ,   IRAS00082+3304  ,   CGCG499-66  ,   KAZ19   ,       ,       ,       ,       ,   
NGC 30          |   STARS   |   PEG |   0   10  50.8    |   +   21  58  39  |       |       |       |       |       |   *2  |       |       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 31          |   GALXY   |   PHE |   0   10  38.5    |   -   56  59  10  |   13.9    |   13.4    |   1.30    |   0.7 |   5   |   Sc  |   0.032025    |   PGC751  ,   ESO149-20   ,   AM0007-571  ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 32          |   STARS   |   PEG |   0   10  53.2    |   +   18  47  33  |       |       |   0.60    |       |       |   *2  |       |       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 33          |   STARS   |   PSC |   0   10  56.6    |   +   3   40  35  |       |       |       |       |       |   *2  |       |       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,   
