pln
19W32,PK359+1.3,17 39.0,-28 57,22x5,,,,,Oph,Record:   20-
Al 1,PK6-8.1,18 34.9,-27 06,13,,15.2,18.0,11.88,Sgr,Record:  17.5- 20-
Al 2-0,PK358-2.4,17 51.8,-32 03,stellar,,,,,Sco,Record:   20-
Al 2-B,PK358+3.9,17 27.8,-28 11,stellar,,,,,Oph,Record:   20-
Al 2-E,PK359+3.4,17 30.2,-27 30,stellar,,19.8,,11.65,Oph,Record:   20+
Al 2-F,PK358+2.4,17 30.5,-28 36,stellar,,18.5,,10.35,Oph,Record:   20-
Al 2-G,PK359+2.5,17 32.4,-28 15,stellar,,,,,Oph,Record:   20-
Al 2-H,PK357+1.2,17 33.3,-30 27,stellar,,,,,Sco,Record:   20-
Al 2-I,PK359+2.6,17 34.2,-27 56,stellar,,,,,Oph,Record:   20-
Al 2-J,PK0+2.1,17 35.6,-27 24,9,,,,,Oph,Record:   20-
Al 2-K,PK359+2.7,17 36.2,-28 01,stellar,,,,,Oph,Record:   20-
Al 2-Q,PK0-1.7,17 53.4,-29 17,stellar,,,,,Sgr,Record:   20-
Al 2-R,PK358-2.5,17 53.6,-31 26,stellar,,19.6,,11.45,Sco,Record:   20-
PK75+4.1,PNG75.6+4.3,20 04.4,+39 35,30x27,3b,16.0,,,Cyg,Record:  17.5- 20-
Ap 1-12,PK3-4.7,18 11.6,-28 23,12,,,,,Sgr,Record:   20?
Ap 2-1,PK35-0.1,18 58.1,+01 37,33,,,,,Aql,Record:   20-
Baade 1,PK171-25.1,03 53.6,+19 30,43,4,15.8,17.1,14.79,Tau,Record: 13+ 17.5+ 20+
PK64+5.1,PNG64.7+5.0,19 34.8,+30 31,13x10,4,11.4,10.1,7.79,Cyg,Record: 8+ 17.5+ 8+
BI 3-10,PK0-2.2,17 55.4,-29 58,9,,14.9,,10.78,Sgr,Record:   20+
BI 3-13,PK0-2.1,17 56.0,-29 11,5,,18.0,,12.60,Sgr,Record:   20-
BI 3-15,PK0-1.2,17 52.6,-29 07,3,,,,,Sgr,Record:   20-
BI B,PK358+1.4,17 37.0,-29 40,stellar,,19.4,,11.25,Oph,Record:  17.5- 20-
BI D,PK358-1.1,17 46.0,-31 04,14x9,,16.0,,12.36,Sco,Record:   20-
BI M,PK1-1.1,17 53.8,-28 27,4,,20.1,,14.21,Sgr,Record:   20-
BI O,PK0-1.3,17 53.8,-28 59,stellar,,,,,Sgr,Record:   20-
BI Q,PK1-1.2,17 54.6,-28 13,5,,18.1,,12.70,Sgr,Record:  17.5- 20-
Bl 2-1,PK104+0.1,22 20.3,+58 14,stellar,,17.3,,9.15,Cep,Record: 17.5-  20-
BlDz 1,PK293+10.1,11 53.1,-50 51,82,,12.3,,12.98,Cen,Record: 17.5+ 17.5+ 8+
BoBn 1,PK108-76.1,00 37.3,-13 42,3,,16.4,16.4,9.84,Cet,Record: 17.5+ 17.5+ 20+
BV 5-1,PK119+0.1,00 20.0,+62 59,50x20,`,15.7,22.3,13.07,Cas,Record: 13+ 17.5+ 20+
BV 5-2,PK121+0.1,00 40.4,+62 51,40,,,,,Cas,Record: 17.5+ 17.5+ 20+
BV 5-3,PK131-5.1,01 53.0,+56 24,32,,15.0,18.0,12.95,Per,Record: 13+ 17.5+ 20+
Cn 1-1,PK330+4.1,15 51.3,-48 45,1,,12.9,,4.10,Nor,Record:   8+
Cn 1-3,PK345-4.1,17 26.2,-44 11,5,1,11.9,14.3,8.60,Sco,Record:  17.5+ 8+
Cn 1-4,PK342-6.1,17 27.8,-46 56,10,,12.9,,9.81,Ara,Record:  17.5+ 8+
Cn 1-5,PK2-9.1,18 29.2,-31 30,7,,11.9,15.2,7.23,Sgr,Record: 13+ 17.5+ 8+
Cn 2-1,PK356-4.1,17 54.6,-34 22,3x2,,12.2,17.0,5.25,Sco,Record: 17.5+ 17.5+ 8+
Cn 3-1,PK38+12.1,18 17.5,+10 09,7x6,2,13.5,13.0,8.66,Oph,Record: 13+ 17.5+ 8+
CRBB 1,PK359-33.1,20 19.5,-41 32,8,,,,,Sgr,Record:   20?
CRL 618,PK166-6.1,04 42.9,+36 07,12,,18.0,17.0,14.50,Aur,Record:  17.5- 20-
PK298+34.1,PNG298.0+34.8,12 33.2,-27 49,7,,17.1,,12.43,Hya,Record:   20?
CTS 1,PK19+5.1,18 07.0,-08 56,3,,16.4,,9.89,Ser,Record: 17.5+ 17.5+ 20+
CTSS 2,PK44+5.2,18 50.7,+12 37,stellar,,18.2,,10.05,Her,Record:   20-
CTSS 3,PK46+2.1,19 03.1,+14 07,600,,,,,Aql,Record:   20-
CTSS 4,PK46+2.1,19 06.4,+13 45,10,,,,,Aql,Record:   20-
Dd 1,PK78+5.1,20 08.7,+42 30,20,,16.2,,13.81,Cyg,Record:  17.5+ 20+
DdDm 1,PK61+41.1,16 40.3,+38 42,stellar,,13.4,15.4,5.25,Her,Record: 13+ 17.5+ 8+
DeHt 1,PK228-22.1,05 55.1,-22 54,132,,15.5,,,Lep,Record:   20-
DeHt 2,PK27+16.1,17 41.7,+03 07,94,,16.3,,17.28,Oph,Record:   20-
DeHt 3,PK19-13.1,19 17.1,-18 02,32,,14.1,,12.73,Sgr,Record: 17.5+ 17.5+ 20+
DeHt 4,PK48-1.1,19 26.4,+13 20,40,,,,,Aql,Record:   20-
DeHt 5,PK111+11.1,22 19.6,+70 56,530,,12.5,,,Cep,Record:  17.5- 20-
DS 2,PK335+12.1,15 43.1,-39 18,180,,,,,Lup,Record:   20-
DuRe 1,,12 45.9,-64 10,75,,,,,Cru,Record:   20-
EGB 1,PK124+10.1,01 07.1,+73 33,270,,12.5,16.4,,Cas,Record: 13+  20+
EGB 4,,06 29.6,+71 04,111,,,12.7,,Cam,Record:   20+
EGB 5,PK211+22.1,08 11.2,+10 57,170,,,,,Cnc,Record:   20-
EGB 6,PK221+46.1,09 53.0,+13 45,720,,10.4,,15.80,Leo,Record:   20-
ESO 040-11,PK305-13.1,13 34.2,-75 46,72,,14.7,,15.1,Cha,Record:   20-
ESO 095-12,PK300-3.1,12 30.4,-66 14,18,,15.3,,12.68,Mus,Record:   20+
ESO 135-04,PK318-3.1,15 08.7,-61 44,45x34,,17.4,,15.01,Cir,Record:   20-
ESO 209-15,PK263-8.1,08 05.2,-48 23,24,,15.4,,13.41,Vel,Record:   20-
ESO 215-04,PK283+9.1,10 54.7,-48 47,300,,,,,Vel,Record: 13+  20+
ESO 216-02,PK288+8.1,11 18.2,-52 10,36,,15.5,,14.39,Cen,Record:   20-
ESO 223-10,PK324+9.1,15 01.7,-48 21,18,,16.0,,13.38,Lup,Record:  17.5- 20+
ESO 259-10,PK265-4.1,08 34.1,-47 17,28,,14.3,,12.64,Vel,Record:   8+
ESO 279-14,PK345-11.1,17 59.6,-46 39,24,,,,,Ara,Record:   20+
ESO 320-28,PK291+19.1,11 52.5,-42 18,32,,16.3,,14.93,Cen,Record:  17.5- 20-
ESO 330-02,PK335+9.1,15 53.2,-41 50,29,,17.2,,15.62,Lup,Record:  17.5- 20-
ESO 427-19,PK239-12.1,06 55.2,-29 07,30,,15.1,19.0,13.59,CMa,Record: 17.5+ 17.5+ 20+
Fg 1,PK290+7.1,11 28.6,-52 56,45x30,3+6,11.6,,16.53,Cen,Record: 17.5+  8+
Fg 2,PK346-6.1,17 39.3,-44 10,5,,12.6,,7.20,Sco,Record:  17.5+ 8+
Fg 3,PK352-7.1,18 00.2,-38 50,2,1,11.7,14.3,4.31,CrA,Record: 17.5+ 17.5+ 8+
GJJC 1,PK9-7.1,18 36.4,-23 55,9,,,,,Sgr,Record:   20+
