ugc
00001a  |   00     02     37.85  |   +16     39     06.8
00001b  |   00     02     37.95  |   +16     38     37.4
00002   |  00     02     26.14   |  +44     55     14.3
00003   |  00     02     46.44   |  +18     53     08.7
00004   |  00     02     57.04   |  +04     12     31.6
00005   |  00     03     05.67   |  -01     54     52.0
00006   |  00     03     09.81   |  +21     57     34.9
00007   |  00     03     11.30   |  +15     57     54.2
00008   |  00     03     14.91   |  +16     08     43.5
00009   |  00     03     18.13   |  +04     37     39.4
00010   |  00     03     20.56   |  +08     37     06.8
00011   |  00     03     21.65   |  +22     06     09.1
00012   |  00     03     20.50   |  +29     47     49.5
00013   |  00     03     29.28   |  +27     21     05.3
00014   |  00     03     35.19   |  +23     12     01.3
00015   |  00     03     44.82   |  +04     17     53.8
00016   |  00     03     48.99   |  +07     28     43.9
00017   |  00     03     43.19   |  +15     13     05.9
00018   |  00     03     56.47   |  +10     52     34.5
00019   |  00     03     59.03   |  +20     45     07.5
00020   |  00     04     15.19   |  +80     17     21.6
00021   |  00     04     08.97   |  +07     22     45.1
00022   |  00     04     05.14   |  +10     17     39.4
00023   |  00     04     13.11   |  +10     47     25.4
00024   |  00     04     14.87   |  +22     35     17.0
00025   |  00     04     25.12   |  +06     10     41.2
00026   |  00     04     24.65   |  +31     28     19.4
00027   |  00     04     29.21   |  +05     50     45.2
00028   |  00     04     30.81   |  +05     12     01.0
00029   |  00     04     33.84   |  +28     18     04.9
00030   |  00     04     32.78   |  +33     33     33.6
00031   |  00     04     52.25   |  +17     11     32.6
00032   |  00     04     58.58   |  +11     42     03.6
00033   |  00     04     57.82   |  +05     07     24.2
00034   |  00     05     06.28   |  +06     55     13.0
00035   |  00     05     09.26   |  +06     15     35.0
00036   |  00     05     13.92   |  +06     46     19.7
00037   |  00     05     27.11   |  +05     10     35.6
00038   |  00     05     27.76   |  +05     13     20.6
00039   |  00     05     34.56   |  +53     37     51.7
00040   |  00     05     48.44   |  +27     26     57.1
00041   |  00     05     56.15   |  +22     29     31.8
00042   |  00     06     06.47   |  +13     07     29.5
00043   |  00     06     02.48   |  +14     25     02.5
00044   |  00     06     19.15   |  +19     44     05.4
00045   |  00     06     13.58   |  +54     31     54.5
00046a  |   00     06     21.53  |   +17     25     46.8
00046b  |   00     06     21.88  |   +17     26     14.8
00047   |  00     06     38.36   |  +17     17     03.4
00048   |  00     06     37.41   |  +47     52     37.9
00049   |  00     06     37.94   |  +08     22     03.5
00050   |  00     06     40.25   |  +26     09     15.0
00051   |  00     06     40.40   |  +05     06     48.7
00052   |  00     06     49.61   |  +08     37     41.9
00053   |  00     06     50.46   |  +19     19     18.1
00054   |  00     06     53.86   |  +41     44     25.3
00055   |  00     06     59.07   |  +46     38     15.3
00056   |  00     07     01.73   |  +14     06     22.6
00057   |  00     07     15.97   |  +27     42     28.9
00058   |  00     07     16.86   |  +08     18     05.0
00059   |  00     07     17.16   |  +27     40     41.1
00060   |  00     07     19.61   |  +32     36     32.6
00061   |  00     07     23.89   |  +47     02     27.2
00062   |  00     07     49.02   |  +35     21     43.3
00063   |  00     07     50.89   |  +35     57     57.7
00064   |  00     07     44.15   |  +40     52     33.4
00065   |  00     08     01.74   |  +33     04     13.3
00066   |  00     08     06.95   |  +09     43     03.3
00067   |  00     08     14.74   |  +07     46     48.3
00068   |  00     08     10.24   |  +27     00     13.9
00069   |  00     08     10.99   |  +27     31     39.9
00070   |  00     08     14.66   |  +49     46     06.9
00071   |  00     08     36.07   |  +44     05     46.5
00072   |  00     08     38.28   |  -00     44     07.9
00073   |  00     08     42.52   |  +37     26     51.7
00074   |  00     08     44.81   |  +04     36     45.2
00075   |  00     08     46.39   |  +15     48     59.0
00076   |  00     08     49.34   |  +24     32     23.9
00077   |  00     08     47.82   |  +33     25     57.7
00078   |  00     08     54.72   |  +23     49     02.2
00079   |  00     09     04.49   |  +25     37     05.2
00080   |  00     09     04.30   |  +27     43     44.7
00081   |  00     09     04.38   |  +10     55     07.9
00082   |  00     09     02.51   |  +21     37     26.7
00083   |  00     09     19.63   |  +00     35     56.5
00084   |  00     09     32.79   |  +33     18     30.8
00085   |  00     09     28.93   |  +47     21     21.4
00086   |  00     09     48.31   |  +27     49     55.5
00087   |  00     09     46.54   |  +28     20     26.9
00088   |  00     09     52.03   |  +04     40     28.3
00089   |  00     09     53.39   |  +25     55     26.6
00090   |  00     10     01.85   |  +16     56     24.8
00091   |  00     10     03.40   |  +28     08     58.7
00092   |  00     10     02.07   |  +28     12     36.0
00093   |  00     10     16.88   |  +30     50     58.0
00094   |  00     10     26.06   |  +25     49     55.1
00095   |  00     10     26.49   |  +28     59     16.4
00096   |  00     10     32.80   |  +28     59     47.2
00097   |  00     10     35.84   |  +28     40     53.6
00098   |  00     10     40.95   |  +32     58     57.0
00099   |  00     10     40.80   |  +13     42     33.8
00100   |  00     10     47.06   |  +33     21     09.1
00101   |  00     10     57.15   |  +25     33     35.5
00102   |  00     11     01.22   |  +30     03     07.3
00103   |  00     10     57.52   |  +04     17     30.8
00104   |  00     11     10.22   |  +08     00     05.1
00105   |  00     11     14.35   |  +28     54     22.8
00106   |  00     11     22.45   |  +06     23     20.6
00107   |  00     11     38.19   |  +27     56     52.0
00108   |  00     11     45.18   |  +28     29     55.9
00109   |  00     11     49.51   |  -01     05     14.5
00110   |  00     12     01.44   |  +26     23     35.8
00111   |  00     12     09.12   |  +12     02     43.3
00112   |  00     12     08.84   |  +41     45     12.3
00113   |  00     12     15.79   |  +22     19     16.7
00114   |  00     12     19.03   |  +31     03     40.0
00115   |  00     10     47.19   |  +88     20     04.2
00116   |  00     12     38.36   |  +05     30     18.5
00117   |  00     12     54.53   |  +33     21     39.5
00118   |  00     12     56.39   |  +22     05     59.5
00119   |  00     13     03.13   |  +14     24     34.4
00120   |  00     13     00.95   |  +30     54     54.8
00121   |  00     13     00.97   |  +39     14     45.1
00122   |  00     13     17.70   |  +17     01     45.8
00123   |  00     13     27.09   |  +17     29     11.2
00124   |  00     13     23.82   |  +28     22     08.2
00125   |  00     13     45.50   |  +48     09     04.0
00126   |  00     13     44.82   |  +14     36     24.0
00127   |  00     13     56.65   |  +26     58     03.3
00128   |  00     13     50.93   |  +35     59     36.6
00129   |  00     13     56.07   |  +03     42     49.8
00130   |  00     13     57.06   |  +30     52     58.6
00131   |  00     13     57.44   |  +48     09     28.0
00132   |  00     14     00.89   |  +12     57     50.4
00133   |  00     14     02.26   |  +48     14     04.0
00134   |  00     14     03.38   |  +12     53     47.6
00135   |  00     14     12.92   |  +07     24     39.3
00136   |  00     14     22.52   |  +48     14     47.2
00137   |  00     14     28.50   |  +48     40     15.2
00138   |  00     14     34.97   |  +48     15     19.6
00139   |  00     14     31.94   |  -00     44     16.3
00140   |  00     14     40.26   |  +18     34     55.0
00141   |  00     14     34.28   |  +28     27     01.0
00142   |  00     14     46.38   |  +05     12     51.7
00143   |  00     15     15.37   |  +05     53     14.9
00144   |  00     15     26.91   |  +16     14     05.5
00145   |  00     15     30.98   |  +17     19     41.4
00146   |  00     15     44.03   |  +27     26     38.4
00147   |  00     15     43.69   |  +29     39     59.9
00148   |  00     15     51.47   |  +16     05     21.9
00149   |  00     15     57.65   |  +14     04     33.7
00150   |  00     15     58.32   |  -00     18     13.5
00151   |  00     16     14.87   |  +10     19     55.9
00152   |  00     16     28.56   |  +29     55     26.0
00153   |  00     16     40.97   |  +47     55     17.2
